Tahun Rilis,Rank,Nama Game,Diskon,Harga,Rating,Tanggal Rilis,Followers,Online Saat Ini,Peak Pemain
2020,993.,The Jackbox Party Pack 7,0%,Rp 245999,92.95%,15 Oct,"14,305",260,"10,599"
2020,1004.,Travellers Rest,0%,Rp 152999,86.26%,28 Jul,"90,380",737,"5,718"
2020,1009.,Sakuna: Of Rice and Ruin,-50%,Rp 134500,89.06%,10 Nov,"41,322",51,"7,043"
2020,1022.,Total War: THREE KINGDOMS - The Furious Wild,-66%,Rp 58479,37.08%,03 Sep,—,—,—
2020,1031.,Stoneshard,-30%,Rp 90999,73.07%,06 Feb,"145,109",651,"10,738"
2020,1035.,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,-75%,Rp 63347,91.70%,23 Jun,"55,563",76,"15,419"
2020,1070.,Captain Tsubasa: Rise of New Champions,-88%,Rp 47880,68.89%,28 Sep,"24,612",227,"4,442"
2020,1085.,Assetto Corsa Competizione - GT4 Pack,-60%,Rp 107600,84.68%,15 Jul,—,—,—
2020,1088.,Command & Conquer™ Remastered Collection,-75%,Rp 59750,88.92%,05 Jun,"103,084",564,"42,587"
2020,1126.,Idle Champions of the Forgotten Realms,0%,Free,75.87%,25 Mar,"24,019","2,717","18,578"
2020,1131.,Root,0%,Rp 95999,86.82%,24 Sep,"25,909",153,599
2020,1134.,Holdfast: Nations At War,0%,Rp 165999,87.84%,05 Mar,"88,357",281,"3,419"
2020,1181.,Assetto Corsa Competizione - Intercontinental GT Pack,-60%,Rp 79600,89.41%,04 Feb,—,—,—
2020,1242.,FAIRY TAIL,-67%,Rp 281160,71.13%,30 Jul,"23,650",22,"1,930"
2020,1251.,Ancestors: The Humankind Odyssey,0%,Rp 423000,76.78%,27 Aug,"87,698",145,"3,334"
2020,1302.,Poly Bridge 2,-80%,Rp 19199,92.17%,28 May,"25,895",112,"1,924"
2020,1307.,Craftopia,-40%,Rp 124199,74.25%,04 Sep,"169,728",184,"27,246"
2020,1342.,Untitled Goose Game,0%,Rp 169000,93.58%,23 Sep,"120,737",102,"2,014"
2020,1354.,Mafia: Definitive Edition,0%,Rp 489000,85.35%,24 Sep,"130,271",396,"36,679"
2020,1373.,RISK: Global Domination,0%,Free,78.69%,19 Feb,"30,670","2,024","11,716"
2020,1375.,Destroy All Humans!,-75%,Rp 63347,89.81%,28 Jul,"54,714",81,"12,423"
2020,1387.,Being a DIK - Season 1,0%,Rp 89999,93.77%,14 Feb,"55,072",155,"5,709"
2020,1400.,Country Pack - Hearts of Iron IV: Battle for the Bosporus,-50%,Rp 53999,45.75%,15 Oct,—,—,—
2020,1403.,ATRI -My Dear Moments-,-55%,Rp 51502,96.14%,18 Jun,"48,393",50,772
2020,1458.,Haven,-60%,Rp 82799,87.10%,03 Dec,"58,024",20,593
2020,1476.,RollerCoaster Tycoon® 3: Complete Edition,0%,Rp 108999,83.71%,24 Sep,"10,825",201,532
2020,1480.,RPG Maker MZ,0%,Rp 604999,81.34%,27 Aug,"29,027",794,"1,266"
2020,1492.,The Walking Dead: The Telltale Definitive Series,0%,Rp 375999,94.52%,29 Oct,"29,508",706,"7,133"
2020,1529.,"Yes, Your Grace",-85%,Rp 16349,85.10%,06 Mar,"39,186",122,"3,337"
2020,1554.,3on3 FreeStyle: Rebound,0%,Free,61.93%,15 Jul,"5,730",242,657
2020,1568.,The Outer Worlds,0%,Rp 324000,81.64%,23 Oct,"174,794",323,"20,349"
2020,1647.,Resident Evil 3,0%,Rp 513999,80.76%,03 Apr,"165,587",845,"60,293"
2020,1666.,Medal of Honor™: Above and Beyond,-50%,Rp 239500,61.55%,11 Dec,"16,841",5,318
2020,1674.,Total War: THREE KINGDOMS - A World Betrayed,-66%,Rp 30599,48.98%,19 Mar,—,—,—
2020,1677.,Tank Mechanic Simulator,-80%,Rp 21799,85.91%,20 Feb,"40,588",93,"5,022"
2020,1683.,ONE PIECE: PIRATE WARRIORS 4,0%,Rp 449000,89.58%,27 Mar,"75,575",153,"9,219"
2020,1686.,Space Haven,-60%,Rp 47999,83.99%,21 May,"115,214",248,"5,687"
2020,1688.,Worms Rumble,-90%,Rp 10899,56.98%,01 Dec,"13,014",2,767
2020,1689.,Need for Speed™ Most Wanted Complete DLC Bundle,-50%,Rp 189500,79.57%,18 Jun,—,—,—
2020,1701.,Monster Hunter World: Iceborne,0%,Rp 445999,56.72%,09 Jan,—,—,—
2020,1709.,Persona 4 Golden,0%,Rp 260000,95.43%,13 Jun,"96,253","1,253","29,984"
2020,1715.,The Henry Stickmin Collection,0%,Rp 130000,96.81%,07 Aug,"50,731",110,"2,812"
2021,34.,It Takes Two Friend's Pass,0%,—,94.15%,25 May,—,—,—
2021,35.,It Takes Two,-75%,Rp 119750,94.15%,26 Mar,"499,744","4,658","71,039"
2021,73.,Battlefield™ 2042,-95%,Rp 32950,46.64%,19 Nov,"344,833","4,733","107,376"
2021,112.,NARAKA: BLADEPOINT,0%,Free,69.05%,12 Aug,"571,092","19,682","385,770"
2021,119.,Forza Horizon 5,0%,Rp 699000,87.67%,09 Nov,"507,981","8,490","81,096"
2021,170.,Hell Let Loose,-50%,Rp 199999,81.36%,27 Jul,"332,506","4,079","21,385"
2021,178.,NieR Replicant™ ver.1.22474487139...,-60%,Rp 351600,86.45%,23 Apr,"137,717",325,"28,684"
2021,184.,Nioh 2 – The Complete Edition,-55%,Rp 288900,86.32%,05 Feb,"102,385","1,842","41,325"
2021,186.,eFootball™,0%,Free,48.06%,30 Sep,"85,573","10,966","22,226"
2021,193.,Mass Effect™ Legendary Edition,-90%,Rp 65900,89.55%,14 May,"126,216","2,987","59,817"
2021,197.,Car Mechanic Simulator 2021,-71%,Rp 60029,93.89%,11 Aug,"83,708","1,608","22,561"
2021,208.,The Riftbreaker,-45%,Rp 135299,88.18%,14 Oct,"97,714",988,"21,741"
2021,213.,GTFO,-60%,Rp 194800,83.05%,10 Dec,"291,350","1,046","18,813"
2021,259.,Age of Empires IV: Anniversary Edition,0%,Rp 249999,84.80%,28 Oct,"291,189","6,048","73,928"
2021,270.,IdleOn - The Idle RPG,0%,Free,78.08%,02 Apr,"21,002","10,394","19,319"
2021,272.,Valheim,0%,Rp 214999,93.46%,02 Feb,"498,754","13,835","502,387"
2021,283.,World of Tanks,0%,Free,81.45%,29 Apr,"92,746","1,880","9,569"
2021,289.,Timberborn,-30%,Rp 199499,93.56%,15 Sep,"165,201","3,561","13,045"
2021,300.,WorldBox - God Simulator,0%,Rp 165999,93.20%,02 Dec,"174,056","2,509","11,034"
2021,305.,Overcooked! All You Can Eat,-66%,Rp 101999,71.01%,23 Mar,"44,946",421,"3,077"
2021,307.,SnowRunner,0%,Rp 259000,88.43%,17 May,"124,796","2,079","11,145"
2021,337.,Russian Fishing 4,0%,Free,54.02%,11 Nov,"98,395","8,405","26,142"
2021,361.,Jurassic World Evolution 2,0%,Rp 449999,87.96%,09 Nov,"125,687","1,415","20,784"
2021,379.,Subnautica: Below Zero,-33%,Rp 235169,89.33%,14 May,"239,414",842,"42,115"
2021,381.,Call to Arms - Gates of Hell: Ostfront,0%,Rp 284999,81.87%,11 Jun,"97,193","2,151","8,919"
2021,384.,The Sims™ 4 Cottage Living Expansion Pack,-50%,Rp 239500,67.27%,22 Jul,—,—,—
2021,386.,GUILTY GEAR -STRIVE-,0%,Rp 548900,86.77%,11 Jun,"114,996","1,640","31,156"
2021,406.,Halo Infinite,0%,Free,69.10%,15 Nov,"226,630","3,542","272,586"
2021,416.,Dead by Daylight - Resident Evil Chapter,-30%,Rp 92323,73.42%,15 Jun,—,—,—
2021,429.,Atelier Ryza 2: Lost Legends & the Secret Fairy,-67%,Rp 254100,87.42%,26 Jan,"45,699",87,"4,005"
2021,460.,[NINJA GAIDEN: Master Collection] NINJA GAIDEN Σ2,-50%,Rp 256500,75.08%,10 Jun,"8,501",40,722
2021,488.,Gunfire Reborn,0%,Rp 162999,92.05%,18 Nov,"127,115","1,270","35,263"
2021,489.,Farming Simulator 22,0%,Rp 299999,91.04%,22 Nov,"149,032","4,270","105,636"
2021,502.,GrandChase,0%,Free,63.02%,28 Jul,"74,186","2,714","79,883"
2021,503.,Days Gone,0%,Rp 579000,91.45%,18 May,"195,159","1,417","27,450"
2021,522.,Sniper Ghost Warrior Contracts 2,-90%,Rp 29999,82.25%,04 Jun,"60,115",480,"7,055"
2021,530.,Medieval Dynasty,0%,Rp 249999,89.13%,23 Sep,"271,729","1,211","31,057"
2021,536.,Five Nights at Freddy's: Security Breach,0%,Rp 169999,85.15%,17 Dec,"108,816",344,"17,219"
2021,537.,Expansion - Hearts of Iron IV: No Step Back,-30%,Rp 150499,65.57%,23 Nov,—,—,—
2021,541.,ICARUS,0%,Rp 284999,71.54%,03 Dec,"238,680","1,609","52,501"
2021,559.,Escape Simulator,0%,Rp 169000,91.74%,19 Oct,"79,639",432,"6,616"
2021,599.,Across the Obelisk,0%,Rp 214999,80.11%,08 Apr,"32,112",983,"14,037"
2021,626.,Oxygen Not Included - Spaced Out!,-33%,Rp 56279,77.09%,16 Dec,—,—,—
2021,627.,BRAVELY DEFAULT II,-60%,Rp 299600,78.85%,02 Sep,"26,209",86,"2,220"
2021,650.,Gas Station Simulator,0%,Rp 115959,86.07%,15 Sep,"54,167",348,"12,229"
2021,652.,Poppy Playtime,0%,Free,83.97%,12 Oct,"151,898",595,"25,128"
2021,655.,The Binding of Isaac: Repentance,0%,Rp 340996,81.77%,31 Mar,—,—,—
2021,666.,Minecraft Dungeons,0%,Rp 265000,88.85%,22 Sep,"57,163",330,"4,022"
2021,675.,RimWorld - Ideology,0%,Rp 165999,80.35%,20 Jul,—,—,—
2021,680.,Total War: ROME REMASTERED,-66%,Rp 110500,74.54%,29 Apr,"41,115",872,"18,526"
2021,688.,Totally Accurate Battle Simulator,0%,Rp 169000,96.46%,01 Apr,"344,775","1,192","13,674"
2021,714.,A Total War Saga: TROY,-50%,Rp 225499,69.85%,02 Sep,"45,606",191,"4,704"
2021,717.,Motor Town: Behind The Wheel,0%,Rp 165999,91.03%,17 Dec,"27,219",885,"3,622"
2021,718.,The Elder Scrolls V: Skyrim Anniversary Upgrade,0%,Rp 266000,48.98%,11 Nov,—,—,—
2021,773.,DEVOUR,0%,Rp 90999,89.61%,28 Jan,"85,891",320,"12,331"
2021,817.,theHunter: Call of the Wild™ - Bloodhound,-50%,Rp 18999,72.53%,30 Mar,—,—,—
2021,818.,Rogue Heroes: Ruins of Tasos,-90%,Rp 15900,75.89%,23 Feb,"20,858",211,"1,649"
2021,824.,World War Z,0%,Rp 249000,81.55%,21 Sep,"113,431",896,"8,036"
2021,827.,War of the Three Kingdoms,0%,Free,11.57%,17 Dec,"7,773","1,098","4,134"
2021,872.,FATAL FRAME / PROJECT ZERO: Maiden of Black Water,-30%,Rp 406000,79.80%,28 Oct,"49,506",25,"3,494"
2021,940.,MechWarrior 5: Mercenaries,0%,Rp 139999,82.63%,27 May,"50,181",839,"6,476"
2021,944.,Uncrashed : FPV Drone Simulator,0%,Rp 124999,90.49%,01 Sep,"16,600",332,934
